,Security Name,Ticker,Sector Name
500830,COLGATE-PALMOLIVE (INDIA) LTD.,COLPAL,Fast Moving Consumer Goods
500840,EIH LTD.,EIHOTEL,Consumer Services
500850,INDIAN HOTELS CO.LTD.,INDHOTEL,Consumer Services
500870,CASTROL INDIA LTD.,CASTROLIND,"Oil, Gas & Consumable Fuels"
500875,ITC LTD.,ITC,Fast Moving Consumer Goods
500877,APOLLO TYRES LTD.,APOLLOTYRE,Automobile and Auto Components
500878,CEAT LTD.,CEATLTD,Automobile and Auto Components
500890,MODI RUBBER LTD.,MODIRUBBER,Automobile and Auto Components
500940,FINOLEX INDUSTRIES LTD.,FINOLEXIND,Capital Goods
501110,SUNRISE INDUSTRIAL TRADERS LTD.,SUNRINV,Financial Services
501111,GOLD ROCK INVESTMENTS LTD.,ZGOLDINV,Services
501144,PEOPLES INVESTMENTS LTD.,PEOPLIN,Services
501148,DALAL STREET INVESTMENTS LTD.,DSINVEST,Financial Services
501150,CENTRUM CAPITAL LTD.,CENTRUM,Financial Services
501151,KARTIK INVESTMENTS TRUST LTD.,KARTKIN,Financial Services
501242,TCI FINANCE LTD.,TCIFINANCE,Financial Services
501261,KRATOS ENERGY & INFRASTRUCTURE LTD.,KRATOSENER,Services
501270,Antariksh Industries Ltd,ANTARIKSH,Realty
501295,INDUSTRIAL INVESTMENT TRUST LTD.,IITL,Financial Services
501298,INDUSTRIAL & PRUDENTIAL INVESTMENTS CO.LTD.,INDPRUD,Financial Services
501301,TATA INVESTMENT CORPORATION LTD.,TATAINVEST,Financial Services
501311,JAYABHARAT CREDIT LTD.-$,JAYBHCR,Financial Services
501314,Prismx Global Ventures Ltd,PRISMX,Services
501343,MOTOR & GENERAL FINANCE LTD.,MOTOGENFIN,Services
501351,RAPID INVESTMENTS LTD.,RAPIDIN,Services
501370,WALCHAND PEOPLEFIRST LTD.,WALCHPF,Services
501386,SWASTIK SAFE DEPOSIT & INVESTMENTS LTD.,ZSWASTSA,Financial Services
501391,W.H.BRADY & CO.LTD.,WHBRADY,Capital Goods
501421,TECHNVISION VENTURES LTD.,TECHNVISN,Information Technology
501423,SHAILY ENGINEERING PLASTICS LTD.,SHAILY,Capital Goods
501425,BOMBAY BURMAH TRADING CORP.LTD.,BBTC,Fast Moving Consumer Goods
501430,BOMBAY CYCLE & MOTOR AGENCY LTD.,BOMBCYC,Services
501455,GREAVES COTTON LTD.,GREAVESCOT,Capital Goods
